All,"Tất Cả"
"You saved the rule.","Bạn đã lưu quy tắc."
"Something went wrong while saving the rule data. Please review the error log.","Một cái gì đó đã đi sai trong khi lưu dữ liệu quy tắc. Vui lòng xem xét lỗi đăng nhập."
Promo,"Quảng cáo"
"Catalog rule indexing failed. See details in exception log.","Cửa hàng quy tắc chỉ mục đã thất bại. Xem chi tiết trong đăng nhập ngoại lệ."
"Percentage discount should be between 0 and 100.","Tỷ lệ phần trăm giảm giá nên giữa 0 và 100."
"Discount value should be 0 or greater.","Giá trị giảm giá nên bằng 0 hoặc lớn hơn."
"Unknown action.","Thao tác không rõ."
"Update the Product","Cập nhật sản phẩm"
"Rule price","Quy luật giá"
"To Fixed Value","Đến giá trị cố định"
"To Percentage","Để tỷ lệ phần trăm"
"By Fixed value","Bởi giá trị cố định"
"By Percentage","Bởi Tỷ lệ phần trăm"
"Update product's %1 %2: %3","Cập nhật sản phẩm của %1 %2: %3"
"Apply as percentage of original","Áp dụng tỷ lệ phần trăm của bản gốc"
"Apply as fixed amount","Áp dụng như là số tiền cố định"
"Adjust final price to this percentage","Điều chỉnh giá cuối cùng cho tỷ lệ phần trăm này"
"Adjust final price to discount value","Điều chỉnh giá cuối cùng để giảm giá trị"
"Conditions Combination","Kết hợp Điều kiện"
"Product Attribute","Thuộc tính sản phẩm"
"Updated rules applied.","Cập nhật các quy tắc được áp dụng."
"You disabled %1 Catalog Price Rules based on ""%2"" attribute.","Bạn vô hiệu hóa %1 cửa hàng giá quy tắc dựa trên thuộc tính ""%2""."
"Catalog Rule Product","Quy tắc Danh mục sản phẩm"
"Indexed rule/product association","Hiệp hội được đánh chỉ mục quy tắc/sản phẩm"
"Catalog Product Rule","Quy tắc Danh mục sản phẩm"
"Indexed product/rule association","Hiệp hội sản phẩm/mục được đánh chỉ mục"
"Rule Information","Thông tin quy tắc"
"Rule Name","Tên quy tắc"
Priority,"Độ ưu tiên"
"Discard subsequent rules","Loại bỏ các quy tắc"
"Smth went to exception","Có gì đó đã trở thành ngoại lệ"
"Scheduled Changes","Lịch trình thay đổi"
"Update Information","Cập nhật thông tin"
"Remove Catalog Price Rule from Update","Xóa giá quy tắc giá sản phẩm trong danh mục sản phẩm từ cập nhật"
"Schedule Update","Lên lịch cập nhật"
"Update Name","Cập Nhật tên"
"Save as a New Update","Lưu như một bản cập nhật mới"
"Move to Another Update","Di chuyển đến cập nhật khác"
"Delete the Update","Xóa bỏ bản Cập Nhật"
"The catalog price rule will be removed from the update and all scheduled changes will be lost.","Quy tắc giá danh mục sản phẩm sẽ bị xoá khỏi bản cập nhật và tất cả các thay đổi đã lên lịch sẽ bị xoá."
"End Time","Thời gian kết thúc"
"Remove Catalog Price Rule from Campaign","Xóa Catalog Price Rule từ chiến dịch"
"Catalog Advanced Search","Danh mục tìm kiếm nâng cao"
"Advanced Search Results","Kết quả tìm kiếm nâng cao"
"Search Weight","Tìm trọng lượng"
Relevance,"Mức độ liên quan"
"Search results for: '%1'","Kết quả tìm kiếm: '%1'"
"Minimum Search query length is %1","Chiều dài công cụ tìm kiếm tối thiểu là %1"
"%1 and greater","%1 và cao hơn"
"up to %1","lên đến %1"
"Search Settings","Cài đặt tìm kiếm"
"Advanced Search","Tìm kiếm nâng cao"
"<strong>%1 item</strong> were found using the following search criteria","<strong>%1 sản phẩm</strong> đã được tìm thấy bằng cách sử dụng các tiêu chí tìm kiếm sau đây"
"<strong>%1 items</strong> were found using the following search criteria","<strong>%1 sản phẩm</strong> đã được tìm thấy bằng cách sử dụng các tiêu chí tìm kiếm sau đây"
"We can't find any items matching these search criteria.","Chúng tôi không thể tìm thấy bất kỳ khoản mục nào phù hợp với các tiêu chí tìm kiếm."
"Modify your search.","Thay đổi tìm kiếm của bạn."
"Don't see what you're looking for?","Không tìm được những gì bạn đang tìm kiếm?"
"Your search returned no results.","Tìm kiếm của bạn không có kết quả."
"Catalog Search","Tfm kiếm danh mục"
"Popular Search Terms","Cụm từ Tìm kiếm phổ biến"
"Minimal Query Length","Chiều dài truy vấn tối thiểu"
"Maximum Query Length","Chiều dài truy vấn tối đa"
"Rebuild Catalog product fulltext search index","Xây dựng lại các chỉ mục tìm kiếm toàn văn danh mục sản phẩm"
"The requested price is not found.","Mức giá được yêu cầu không tìm thấy."
"Update %1 from %2 to %3.","Cập nhật %1 từ %2 đến %3."
View/Edit,"Xem/chỉnh sửa"
Preview,"Xem trước"
"Set Product as New","Đặt sản phẩm trong trạng thái Mới"
"Store View:","Cửa hàng:"
"Sort Products By","Sắp xếp sản phẩm theo"
"Default Product Sorting","Mặc định sắp xếp sản phẩm"
"Use Parent Category Settings","Sử dụng thiết lập nhóm mẹ"
"New Theme","Chủ đề mới"
"The category will be removed from the update and all scheduled changes will be lost.","Danh mục sản phẩm sẽ bị xoá khỏi cập nhật và tất cả các thay đổi đã lên lịch sẽ bị xoá."
"Remove Product from Update","Loại bỏ sản phẩm từ cập nhật"
"The product will be removed from the update and all scheduled changes will be lost.","Danh mục sản phẩm sẽ bị xoá khỏi cập nhật và tất cả các thay đổi đã lên lịch sẽ bị xoá."
"Currently Active","Đang trực tuyến"
Path,"Đường dẫn"
"Create Permanent Redirect for old URL","Tạo ra chuyển hướng vĩnh viễn cho URL cũ"
"Invalid URL key","Khóa URL không hợp lệ"
"Category URL Suffix","Nhóm URL Suffix"
"You need to refresh the cache.","Bạn cần phải làm mới bộ nhớ cache."
"Product URL Suffix","Sản phẩm URL Suffix"
"Use Categories Path for Product URLs","Sử dụng URL đường dẫn nhóm cho các sản phẩm"
"Create Permanent Redirect for URLs if URL Key Changed","Tạo ra chuyển hướng vĩnh viễn cho URL nếu URL key thay đổi"
"Please choose a condition to add.","Vui lòng chọn một điều kiện để thêm."
"Catalog Products List","Danh mục danh sách sản phẩm"
"List of Products","Danh sách sản phẩm"
"Products Grid Template","Mẫu lưới sản phẩm"
"My Cart (1 item)","Giỏ hàng của tôi (1 sản phẩm)"
"My Cart (%1 items)","Giỏ hàng của tôi (%1 sản phẩm)"
"My Cart","Giỏ hàng của tôi"
"For delivery questions.","Đối với câu hỏi cho vận chuyển."
"Customer is already registered","Khách hàng đã được đăng ký"
"Your session has expired","Phiên làm việc của bạn đã hết hạn"
"A letter with further instructions will be sent to your email.","Một bức thư với hướng dẫn thêm sẽ được gửi tới email của bạn."
"We cannot configure the product.","Chúng tôi không thể cấu hình sản phẩm."
"You used coupon code ""%1"".","Bạn đã sử dụng mã giảm giá ""%1""."
"You canceled the coupon code.","Bạn đã hủy mã giảm giá."
"We cannot apply the coupon code.","Chúng tôi không thể áp dụng mã giảm giá."
"We can't remove the item.","Bạn không thể xóa sản phẩm này."
"%1 was updated in your shopping cart.","%1 đã được cập nhật trong giỏ hàng của bạn."
"We can't update the item right now.","Bạn không thể cập nhập sản phẩm vào lúc này."
"We can't update the shopping cart.","Chúng tôi không thể cập nhật giỏ mua hàng."
"One-page checkout is turned off.","One-page checkout đã tắt."
"Guest checkout is disabled.","Thanh toán như khách đã bị tắt."
Checkout,"Thanh toán"
"Page not found.","Không tìm thấy trang."
"Something went wrong while processing your order. Please try again later.","Có lỗi xảy ra khi xử lý đơn hàng của bạn. Xin vui lòng thử lại sau."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 không được kế thừa từ \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","Phương thức thanh toán"
"Payment Page","Kiểu thanh toán"
"We found an invalid request for adding product to quote.","Chúng tôi tìm thấy một yêu cầu không hợp lệ cho việc thêm sản phẩm để báo giá."
"The product does not exist.","Sản phẩm không tồn tại."
"We don't have some of the products you want.","Chúng tôi không có một số sản phẩm mà bạn muốn."
"We don't have as many of some products as you want.","Chúng tôi không có nhiều sản phẩm như bạn muốn."
"Quantity was recalculated from %1 to %2","Số lượng được tính toán lại từ %1 thành %2"
"We adjusted product quantities to fit the required increments.","Chúng tôi điều chỉnh số lượng sản phẩm để phù hợp với yêu cầu từng bước."
"This quote item does not exist.","Mục báo giá này không tồn tại."
"Display number of items in cart","Hiển thị số lượng sản phẩm trong giỏ hàng"
"Display item quantities","Hiển thị số lượng sản phẩm"
"Carrier with such method not found: %1, %2","Phương pháp vận chuyển: %1, %2 không tìm thấy"
" item"," sản phẩm"
" items"," sản phẩm"
"Totals calculation is not applicable to empty cart","Tính toán tổng số không áp dụng với giỏ hàng rỗng"
"Invalid data","Dữ liệu không hợp lệ"
"The customer address is not valid.","Địa chỉ khách hàng không hợp lệ."
"Invalid shipping method","Phương thức vận chuyển không hợp lệ"
"There are more than one shipping addresses.","Có nhiều hơn một địa chỉ giao hàng."
"Sorry, guest checkout is not available.","Xin lỗi, thanh toán như khách không có sẵn."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Bạn phải xác nhận tài khoản của bạn. Vui lòng kiểm tra email của bạn để thấy liên kết xác nhận hoặc <a href=""%1""> bấm vào đây</a> để nhận một liên kết mới."
"Load customer quote error","Lỗi khi tải trích dẫn khách hàng"
"Invalid method: %1","Phương thức không hợp lệ: %1"
Error!,Lỗi!
"DB exception","Ngoại lệ cơ sở dữ liệu"
"Print receipt","In hoá đơn"
"Apply Discount Code","Áp dụng mã giảm giá"
"Enter discount code","Nhập mã giảm giá"
"Apply Discount","Áp dụng giảm giá"
"Cancel Coupon","Hủy bỏ phiếu giảm giá"
"Continue Shopping","Tiếp tục mua sắm"
"Clear Shopping Cart","Xóa giỏ hàng"
"Update Shopping Cart","Cập nhật giỏ hàng"
"Update Cart","Cập nhật giỏ hàng"
"You have no items in your shopping cart.","Bạn có không có sản phẩm nào trong giỏ hàng của bạn."
"Click <a href=""%1"">here</a> to continue shopping.","Bấm vào <a href=""%1""> đây</a> để tiếp tục mua sắm."
"Estimate Tax","Ước tính thuế"
"Estimate Shipping and Tax","ước tính vận chuyển và thuế"
"Order #","Đơn hàng #"
"Proceed to Checkout","Tiến hành thanh toán"
"Your order number is: %1.","Mã số đơn hàng của bạn là: %1."
"Your order # is: <span>%1</span>.","Đơn hàng của bạn # là: <span>%1</span>."
"We'll email you an order confirmation with details and tracking info.","Chúng tôi sẽ gửi cho bạn một email xác nhận đơn hàng với thông tin chi tiết của đơn hàng."
"Payment Transaction Failed Reminder","Nhắc nhở thanh toán giao dịch thất bại"
"Payment Transaction Failed","Giao dịch thanh toán không thành công"
Reason,"Lý do"
"Checkout Type","Loại hình thanh toán"
Customer:,"Khách hàng:"
Total:,Tổng:
"Billing Address:","Địa chỉ thanh toán:"
"Shipping Address:","Địa chỉ giao hàng:"
"Shipping Method:","Phương thức vận chuyển:"
"Payment Method:","Phương thức thanh toán:"
"Date & Time:","Ngày & Giờ:"
"Sign In","Đăng nhập"
"Email Address","Địa chỉ email"
"Forgot Your Password?","Bạn quên mật khẩu?"
"My billing and shipping address are the same","Địa chỉ thanh toán và giao hàng của tôi giống nhau"
Update,"Cập nhật"
"Save in address book","Lưu vào sổ địa chỉ"
"Estimated Total","Ước tính tổng số"
"You can create an account after checkout.","Bạn có thể tạo một tài khoản sau khi thanh toán."
"You already have an account with us. Sign in or continue as guest.","Bạn đã có một tài khoản trên hệ thống của chúng tôi. Đăng nhập hoặc tiếp tục như là khách."
Login,"Đăng nhập"
"Items in Cart","Sản phẩm trong giỏ"
"Item in Cart","Sản phẩm trong giỏ"
"View and Edit Cart","Xem và sửa giỏ hàng"
"See Details","Xem chi tiết"
"Options Details","Tùy chọn chi tiết"
"Cart Subtotal","Tổng phụ giỏ hàng"
"No Payment method available.","Không có phương thức thanh toán có sẵn."
"You can track your order status by creating an account.","Bạn có thể theo dõi tình trạng đơn hàng của bạn bằng cách tạo một tài khoản."
"Forgot an Item?","Quên một sản phẩm?"
"Edit Your Cart","Sửa giỏ hàng của bạn"
"Ship Here","Gửi ở đây"
"Ship To:","Gửi đến:"
edit,sửa
"Shipping Address","Địa chỉ giao hàng"
"New Address","Địa chỉ mới"
"Order Summary","Tóm tắt đơn hàng"
"Provided Zip/Postal Code seems to be invalid.","Mã Zip/bưu điện được cung cấp dường như không hợp lệ."
" Example: "," Ví dụ: "
"If you believe it is the right one you can ignore this notice.","Nếu bạn tin rằng nó là đúng, bạn có thể bỏ qua thông báo này."
"Field ","Trường "
" is required."," là bắt buộc."
"Are you sure you would like to remove this item from the shopping cart?","Bạn có chắc bạn muốn loại bỏ sản phẩm này khỏi giỏ mua hàng?"
"Review & Payments","đánh giá và thanh toán"
"Select a new payment method","Chọn một phương thức thanh toán mới"
"Save Address","Lưu địa chỉ"
"Checkout Options","Tùy chọn thanh toán"
"Enable Onepage Checkout","Cho phép Onepage checkout"
"Allow Guest Checkout","Cho phép thanh toán như khách"
"Display Billing Address On","Hiển thị địa chỉ thanh toán trên"
"Maximum Number of Items to Display in Order Summary","Số lượng tối đa của các mặt hàng hiển thị trên tổng hoá đơn"
"Quote Lifetime (days)","Dòng đời trích dẫn (ngày)"
"After Adding a Product Redirect to Shopping Cart","Sau khi thêm một trang chuyển hướng sản phẩm vào giỏ hàng"
"Number of Items to Display Pager","Số mục để hiển thị phân trang"
"My Cart Link","Liên kết giỏ hàng của tôi"
"Display Cart Summary","Hiển thị tóm tắt giỏ hàng"
"Number of Items to Display Scrollbar","Số mục để hiển thị thanh cuộn"
"Maximum Number of Items to Display","Số lượng tối đa của các mục để hiển thị"
"Payment Failed Emails","Email thông báo thanh toán thất bại"
"Payment Failed Email Sender","Người gửi email thanh toán thất bại"
"Payment Failed Email Receiver","Người nhận email thanh toán thất bại"
"Payment Failed Template","Mẫu Thanh toán không thành công"
"Send Payment Failed Email Copy To","Gửi bản sao email thanh toán không thành công đến"
"Separate by "","".","Tách biệt bởi "",""."
"Send Payment Failed Email Copy Method","Phương pháp sao chép email gửi thanh toán không thành công"
"Order Total","Tổng đơn đặt hàng"
"We'll send your order confirmation here.","Chúng tôi sẽ gửi xác nhận đặt hàng của bạn ở đây."
Payment,"Thanh toán"
"Not yet calculated","Chưa tính"
"Thank you for your purchase!","Cảm ơn bạn đã mua hàng!"
"Terms and Conditions","Điều khoản và điều kiện"
"Add New Condition","Thêm điều kiện"
"Save Condition","Lưu điều kiện"
"Delete Condition","Xóa điều kiện"
"Edit Terms and Conditions","Chỉnh sửa các điều khoản và điều kiện"
"New Terms and Conditions","Các điều khoản và điều kiện mới"
"Terms and Conditions Information","Thông tin Điều khoản và điều kiện"
"Condition Name","Tên Điều kiện"
"Show Content as","Hiển thị nội dung như"
Applied,"Áp dụng"
"Checkbox Text","Hộp kiểm tra văn bản"
"Content Height (css)","Chiều cao nội dung (css)"
"Content Height","Chiều cao nội dung"
Condition,"Điều kiện"
Sales,"Doanh số"
"Checkout Conditions","Điều kiện thanh toán"
"Checkout Terms and Conditions","Điều khoản và điều kiện thanh toán"
"This condition no longer exists.","điều kiện này không còn tồn tại."
"You deleted the condition.","Bạn đã xóa điều kiện."
"Something went wrong  while deleting this condition.","Một cái gì đó đã đi sai trong khi xóa bỏ điều kiện này."
"Edit Condition","Chỉnh sửa điều kiện"
"New Condition","điều kiện mới"
"You saved the condition.","Bạn đã lưu các điều kiện."
"Something went wrong while saving this condition.","Một cái gì đó đã đi sai trong khi lưu điều kiện này."
Automatically,"Tự động"
Manually,"Thủ công"
"Terms & Conditions","Điều khoản & điều kiện"
"Enable Terms and Conditions","Kích hoạt điều khoản và điều kiện"
"Preview Quote Lifetime (minutes)","Xem trước thời gian hiện thị biểu ngữ (phút)"
"Static Blocks","Khối tĩnh"
"Add New Block","Thêm khối mới"
"Delete Block","Xóa khối"
Identifier,"Định danh"
"Manage Pages","Quản lý trang"
"Add New Page","Thêm trang mới"
"Delete Page","Xóa trang"
"URL Key","Đường dẫn Url"
Created,"Đã tạo"
Modified,"Đã sửa"
"Media Storage","Phương tiện lưu trữ"
"Delete Folder","Xoá thư mục"
"New Folder Name:","Tên thư mục mới:"
"Are you sure you want to delete this folder?","Bạn có chắc bạn muốn xóa bỏ thư mục này không?"
"Are you sure you want to delete this file?","Bạn có chắc bạn muốn xóa tệp này không?"
"Images (%1)","Hình ảnh (%1)"
"Storage Root","Gốc lưu trữ"
"You deleted the block.","Bạn đã xóa các khối."
"We can't find a block to delete.","Không tìm thấy khối đối tượng để xóa."
"This block no longer exists.","Khối này không còn tồn tại."
"Edit Block","Chỉnh sửa khối"
"New Block","Khối mới"
Blocks,"Các khối"
"You saved the block.","Bạn đã lưu các khối."
"Something went wrong while saving the block.","Một cái gì đó đã đi sai khi lưu khối."
"You duplicated the block.","Bạn đã sao các khối."
"The page has been deleted.","Trang web đã bị xoá."
"We can't find a page to delete.","Không tìm thấy trang để xóa."
"This page no longer exists.","Trang này không còn tồn tại."
"Edit Page","Chỉnh sửa trang"
"New Page","Trang mới"
Pages,"Các trang"
"Something went wrong while saving the page.","Một cái gì đó đã đi sai khi lưu các trang."
"A total of %1 record(s) have been disabled.","Tổng cộng %1 bản ghi đã bị vô hiệu."
"A total of %1 record(s) have been enabled.","Tổng cộng %1 bản ghi đã được kích hoạt."
"Page Title","Tiêu đề trang"
"To apply changes you should fill in hidden required ""%1"" field","Để áp dụng thay đổi, bạn nên điền vào trường yêu cầu bị ẩn ""%1"""
"You saved the page.","Bạn đã lưu các trang."
"You duplicated the page.","Bạn đã sao trang."
"Directory %1 is not under storage root path.","Thư mục %1 không theo đường dẫn gốc lưu trữ."
"Make sure that static block content does not reference the block itself.","Hãy chắc chắn rằng nội dung khối tĩnh không tự tham khảo."
"Enabled by Default","Được kích hoạt mặc định"
"Disabled by Default","Vô hiệu hóa bởi mặc định"
"Disabled Completely","Vô hiệu hóa hoàn toàn"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","Nhận dạng này là dành cho ""CMS No Route Page"" trong cấu hình."
"This identifier is reserved for ""CMS Home Page"" in configuration.","Nhận dạng này là dành cho ""Trang chủ CMS"" trong cấu hình."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","Nhận dạng này là dành cho ""Trang CMS không có cookie"" trong cấu hình."
"Could not save the page: %1","Không thể lưu trang web: %1"
"Could not delete the page: %1","Không thể xóa bỏ các trang: %1"
"A block identifier with the same properties already exists in the selected store.","Khối được chỉ định với thuộc tính như vậy đã tồn tại trong cửa hàng được chọn."
"We found a directory with the same name. Please try another folder name.","Chúng tôi tìm thấy một thư mục có cùng tên. Hãy thử tên thư mục khác."
"We cannot create a new directory.","Chúng tôi không thể tạo một hướng mới."
"We cannot delete directory %1.","Chúng tôi không thể xoá thư mục %1."
"We can't upload the file right now.","Hiện tại không thể tải lên các tập tin."
"We can't delete root directory %1 right now.","Hiện tại không thể xóa thư mục gốc %1."
"Privacy and Cookie Policy","Riêng tư và chính sách cookie"
LocalizedException,"Yếu tố ngoại lệ cho bản địa"
"Could not create a directory.","Không thể tạo thư mục."
"Are you sure you want to delete a %1 record?","Bạn có chắc chắn muốn xóa ""%1"" bản ghi?"
View,"Hiển thị"
"No files found","Không tìm thấy tập tin"
"Save Page","Lưu trang"
"Media Gallery","Thư viện Media"
"Content Management","Quản lý nội dung"
"CMS Home Page","CMS trang chủ"
"CMS No Route Page","Trang CMS không kết nối"
"CMS No Cookies Page","Trang không có cookie CMS"
"Show Breadcrumbs for CMS Pages","Hiển thị breadcrumbs cho trang CMS"
"Browser Capabilities Detection","Phát hiện khả năng của trình duyệt"
"Redirect to CMS-page if Cookies are Disabled","Chuyển hướng đến trang CMS nếu cookie bị vô hiệu hoá"
"Show Notice if JavaScript is Disabled","Hiển thị thông báo nếu JavaScript bị vô hiệu hóa"
"Show Notice if Local Storage is Disabled","Hiển thị thông báo nếu lưu trữ cục bộ bị vô hiệu hóa"
"Default Page Layout","Giao diện trang mặc định"
"WYSIWYG Options","Tùy chọn WYSIWYG"
"Enable WYSIWYG Editor","Cho phép WYSIWYG Editor"
"CMS Page Link","Trang liên kết CMS"
"Link to a CMS Page","Liên kết đến trang CMS"
"CMS Page","CMS trang"
"Select Page...","Chọn trang..."
"If empty, the Page Title will be used","Nếu trống, tiêu đề trang sẽ được sử dụng"
"CMS Page Link Block Template","Mẫu liên kết khối trang CMS"
"CMS Page Link Inline Template","Mẫu liên kết nội tuyến trang CMS"
"CMS Static Block","Khối CMS tĩnh"
"Contents of a Static Block","Nội dung của một khối tĩnh"
Block,Khối
"Select Block...","Chọn khối..."
"CMS Static Block Default Template","Mẫu khối tĩnh CMS mặc định"
"General Information","Thông tin chung"
"Enable Block","Kích hoạt khối"
"Block Title","Tiêu đề Khối"
"Are you sure you want to delete selected items?","Bạn muốn xóa các sản phẩm đã chọn?"
"Page Information","Trang thông tin"
"Enable Page","Cho phép trang"
"Content Heading","Nội dung tiêu đề"
"Page in Websites","Trang trong trang web"
"Custom Design Update","Cập Nhật Tùy chỉnh thiết kế"
"New Layout","Giao diện mới"
"Custom design from","Các thiết kế tùy chỉnh từ"
"Custom design to","Tùy chỉnh thiết kế đến"
"Custom Theme","Chủ đề tùy chỉnh"
"Custom Layout","Tuỳ chỉnh bố cục"
"The block will be removed from the update and all scheduled changes will be lost.","Danh mục sản phẩm sẽ bị xoá khỏi cập nhật và tất cả các thay đổi đã lên lịch sẽ bị xoá."
"Remove CMS page from Update","Loại bỏ các trang CMS từ cập nhật"
"Search Engine Optimisation","Tối Ưu Công Cụ Tìm Kiếm"
"The page will be removed from the update and all scheduled changes will be lost.","Danh mục sản phẩm sẽ bị xoá khỏi cập nhật và tất cả các thay đổi đã lên lịch sẽ bị xoá."
"CMS Pages","Trang cms"
"CMS Blocks","CMS Block"
"Delete Customer","Xóa khách hàng"
"Email Address:","Địa chỉ email:"
"First Name:",Tên:
"Last Name:",Họ:
"A total of %1 record(s) were updated.","Tổng cộng %1 bản ghi đã được cập nhật."
"A total of %1 record(s) were deleted.","Tổng %1 bản ghi đã xóa."
"Add New Role","Thêm vai trò mới"
"Edit Role","Chỉnh sửa vai trò"
Rejected,"Bị từ chối"
"Invalid value of ""%value"" provided for the %fieldName field.","Không hợp lệ giá trị % giá trị"""" cung cấp cho các trường %fieldName."
"No such entity with %fieldName = %fieldValue","Không có thực thể như vậy với %fieldName = %fieldValue"
"Type %1 is not an instance of %2","Loại %1 không phải là một trường hợp của %2"
"Invalid login or password.","Đăng nhập hoặc mật khẩu không hợp lệ."
"This account is locked.","Tài khoản này bị khóa."
"Something went wrong","Đã xảy ra lỗi"
"Exception message","Tin nhắn ngoại lệ"
test,"thử nghiệm"
"Localized Exception.","Yếu tố ngoại lệ cho bản địa."
"Error message","Thông báo lỗi"
"error message","thông báo lỗi"
"Role Name","Tên vai trò"
"User Role","Vai trò người dùng"
"Please select a region, state or province.","Vui lòng chọn khu vực, bang hay tỉnh."
"Phone Number","Số Điện thoại"
"You have no other address entries in your address book.","Bạn có không địa chỉ khác trong sổ địa chỉ của bạn."
Contacts,"Liên hệ"
"Role Information","Thông tin vai trò"
"Save Role","Lưu vai trò"
"Add New User","Thêm người dùng mới"
"Create an Account","Tạo tài khoản"
"When you sign in to your account, you will be able to:","Khi bạn đăng nhập vào tài khoản, bạn có thể:"
"Edit User","Sửa người dùng"
Comma-separated,"Ngăn cách bởi dấu phẩy"
Comment,"Bình luận"
ZIP,"SỐ ZIP"
Gender,"Giới tính"
Prefix,"Tiền tố"
"Middle Name/Initial","Tên đệm/ban đầu"
Suffix,"Hậu tố"
"My Orders","Đơn đặt hàng của tôi"
"Create New Customer","Tạo ra khách hàng mới"
Users,"Người dùng"
"The requested Payment Method is not available.","Phương thức thanh toán được yêu cầu là không có sẵn."
Updated,"Đã cập nhật"
Purchased,"Đã mua"
Reverted,"Trở lại"
"Store Credit","Tiền trong store"
"We refunded %1 online.","Chúng tôi hoàn lại %1 trực tuyến."
"We refunded %1 offline.","Chúng tôi hoàn lại %1 ngoại tuyến."
"No such entity","Không có thực thể như vậy"
"Order # %1","Đơn hàng #%1"
"This is a required field.","Đây là trường bắt buộc."
Rate,"Đánh giá"
Date,Ngày
Operation,"Hoạt động"
"Payment Methods","Phương thức thanh toán"
"Default Config","Cấu hình mặc định"
"Save Config","Lưu Config"
"Use system value","Sử dụng giá trị hệ thống"
"Use Website","Sử dụng Website"
Add,Thêm
"Delete File","Xoá tập tin"
"Search String","Chuỗi tìm kiếm"
"Design Theme","Thiết kế chủ đề"
"Add \Exception","Thêm\Bớt"
"-- No Theme --","--Không có chủ đề--"
"%1 should implement %2","%1 nên triển khai %2"
"The value you set has already been locked. To change the value, use the --%1 option.","Giá trị bạn đặt đã bị khóa. Để thay đổi giá trị, sử dụng --%1 option."
"You saved the configuration.","Bạn đã lưu lại cấu hình."
"Something went wrong while saving this configuration:","Một cái gì đó đã đi sai trong khi lưu điều kiện này:"
"Please specify the admin custom URL.","Xin vui lòng ghi rõ quản trị viên tuỳ chỉnh URL."
"Invalid %1. %2","Không hợp lện %1. %2"
"Value must be a URL or one of placeholders: %1","Giá trị phải là một URL hoặc một trong các phần giữ chỗ: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Chỉ định một URL hoặc đường dẫn bắt đầu với phần giữ chỗ: %1, và kết thúc bằng ""/""."
"%1 An empty value is allowed as well.","%1 một giá trị rỗng cũng được cho phép."
"Specify a fully qualified URL.","Chỉ định một URL đầy đủ."
"Selected allowed currency ""%1"" is not available in installed currencies.","Lựa chọn tiền tệ được cho phép ""%1"" không có sẵn trong đơn vị tiền tệ được cài đặt."
"Default display currency ""%1"" is not available in allowed currencies.","Tiền tệ Hiển thị mặc định ""%1"" không có sẵn trong đơn vị tiền tệ được cho phép."
"Sorry, we haven't installed the base currency you selected.","Xin lỗi, chúng tôi đã không cài đặt các loại tiền tệ cơ bản bạn đã chọn."
"Sorry, we haven't installed the default display currency you selected.","Xin lỗi, chúng tôi đã không cài đặt mặc định Hiển thị đơn vị tiền tệ bạn chọn."
"Sorry, the default display currency you selected is not available in allowed currencies.","Xin lỗi, Hiển thị mặc định tiền tệ bạn chọn không có sẵn trong đơn vị tiền tệ được cho phép."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Tên người gửi ""%1"" không hợp lệ. Xin vui lòng chỉ sử dụng các ký tự và dấu cách có thể nhìn thấy."
"Maximum sender name length is 255. Please correct your settings.","Độ dài tên người gửi tối đa là 255. Xin vui lòng sửa các cài đặt của bạn."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Các tập tin bạn tải lên vượt quá giới hạn kích thước của máy chủ của %1 kilobyte."
"The base directory to upload file is not specified.","Thư mục cơ bản để tải lên tập tin không được chỉ định."
"The specified image adapter cannot be used because of: %1","Bộ chuyển đổi hình ảnh được chỉ định không thể được sử dụng vì: %1"
"Default scope","Phạm vi mặc định"
"Base currency","Tiền tệ cơ sở"
"Display default currency","Hiển thị tiền tệ mặc định"
"website(%1) scope","phạm vi trang web (%1)"
"store(%1) scope","phạm vi cửa hàng (%1)"
"Currency ""%1"" is used as %2 in %3.","Đơn vị tiền tệ ""%1"" được sử dụng như là %2 ở %3."
"Always (during development)","Luôn luôn (trong quá trình phát triển)"
"Only Once (version upgrade)","Chỉ một lần (Phiên bản nâng cấp)"
"Never (production)","Không bao giờ (sản xuất)"
"Separate Email","Email riêng biệt"
"%1 (Default)","%1 (mặc định)"
title,"tiêu đề"
Optional,"Tùy chọn"
"HTTP (unsecure)","HTTP (không đảm bảo)"
"Yes (302 Found)","Có (302 tìm thấy)"
"Yes (301 Moved Permanently)","Có (301 di chuyển vĩnh viễn)"
Specified,"Quy định"
"Config form fieldset clone model required to be able to clone fields","Cấu hình dạng mẫu bộ trường vô tính cần thiết để có thể sao chép các trường vô tính"
"%1: Instance of %2 is expected, got %3 instead","%1: thực thể của %2 được mong đợi, lấy %3 thay vào đó"
"'There is no defined type ' .","'Đó là kiểu không được xác định '."
